#a(fm) beta m_s*a m_ud*a
0.499 3.24977 0.637654 0.022652
0.498 3.2506 0.633274 0.0224964
0.497 3.25143 0.628925 0.0223419
0.496 3.25226 0.624608 0.0221886
0.495 3.25309 0.620323 0.0220363
0.494 3.25392 0.616069 0.0218852
0.493 3.25475 0.611845 0.0217352
0.492 3.25559 0.607653 0.0215862
0.491 3.25642 0.603491 0.0214384
0.49 3.25725 0.599359 0.0212916
0.489 3.25809 0.595257 0.0211459
0.488 3.25892 0.591185 0.0210012
0.487 3.25976 0.587143 0.0208576
0.486 3.2606 0.58313 0.0207151
0.485 3.26144 0.579146 0.0205736
0.484 3.26228 0.575191 0.0204331
0.483 3.26312 0.571265 0.0202936
0.482 3.26396 0.567368 0.0201552
0.481 3.2648 0.563499 0.0200177
0.48 3.26564 0.559658 0.0198813
0.479 3.26648 0.555845 0.0197458
0.478 3.26733 0.55206 0.0196114
0.477 3.26817 0.548302 0.0194779
0.476 3.26902 0.544571 0.0193453
0.475 3.26986 0.540868 0.0192138
0.474 3.27071 0.537191 0.0190832
0.473 3.27156 0.533541 0.0189535
0.472 3.27241 0.529918 0.0188248
0.471 3.27326 0.526321 0.018697
0.47 3.27411 0.52275 0.0185702
0.469 3.27496 0.519205 0.0184442
0.468 3.27581 0.515686 0.0183192
0.467 3.27666 0.512192 0.0181951
0.466 3.27752 0.508724 0.0180719
0.465 3.27837 0.50528 0.0179496
0.464 3.27923 0.501862 0.0178281
0.463 3.28008 0.498468 0.0177076
0.462 3.28094 0.4951 0.0175879
0.461 3.2818 0.491755 0.0174691
0.46 3.28266 0.488435 0.0173511
0.459 3.28352 0.485139 0.0172341
0.458 3.28438 0.481866 0.0171178
0.457 3.28524 0.478618 0.0170024
0.456 3.28611 0.475392 0.0168878
0.455 3.28697 0.472191 0.0167741
0.454 3.28784 0.469012 0.0166612
0.453 3.2887 0.465856 0.0165491
0.452 3.28957 0.462724 0.0164378
0.451 3.29044 0.459613 0.0163273
0.45 3.29131 0.456526 0.0162176
0.449 3.29218 0.45346 0.0161087
0.448 3.29305 0.450417 0.0160006
0.447 3.29392 0.447396 0.0158933
0.446 3.29479 0.444397 0.0157867
0.445 3.29567 0.441419 0.015681
0.444 3.29654 0.438463 0.0155759
0.443 3.29742 0.435528 0.0154717
0.442 3.2983 0.432614 0.0153682
0.441 3.29917 0.429721 0.0152654
0.44 3.30005 0.426849 0.0151634
0.439 3.30093 0.423998 0.0150621
0.438 3.30181 0.421167 0.0149615
0.437 3.3027 0.418357 0.0148617
0.436 3.30358 0.415567 0.0147626
0.435 3.30446 0.412797 0.0146642
0.434 3.30535 0.410047 0.0145665
0.433 3.30624 0.407317 0.0144695
0.432 3.30712 0.404606 0.0143732
0.431 3.30801 0.401915 0.0142776
0.43 3.3089 0.399243 0.0141827
0.429 3.30979 0.396591 0.0140885
0.428 3.31069 0.393957 0.0139949
0.427 3.31158 0.391343 0.013902
0.426 3.31248 0.388747 0.0138098
0.425 3.31337 0.386169 0.0137183
0.424 3.31427 0.383611 0.0136274
0.423 3.31517 0.38107 0.0135371
0.422 3.31607 0.378548 0.0134475
0.421 3.31697 0.376044 0.0133586
0.42 3.31787 0.373557 0.0132702
0.419 3.31877 0.371089 0.0131826
0.418 3.31967 0.368638 0.0130955
0.417 3.32058 0.366205 0.013009
0.416 3.32149 0.363789 0.0129232
0.415 3.32239 0.36139 0.012838
0.414 3.3233 0.359008 0.0127534
0.413 3.32421 0.356644 0.0126694
0.412 3.32513 0.354296 0.012586
0.411 3.32604 0.351965 0.0125032
0.41 3.32695 0.349651 0.012421
0.409 3.32787 0.347353 0.0123394
0.408 3.32878 0.345071 0.0122583
0.407 3.3297 0.342806 0.0121778
0.406 3.33062 0.340557 0.0120979
0.405 3.33154 0.338323 0.0120186
0.404 3.33246 0.336106 0.0119398
0.403 3.33339 0.333904 0.0118616
0.402 3.33431 0.331718 0.011784
0.401 3.33524 0.329548 0.0117069
0.4 3.33617 0.327393 0.0116303
0.399 3.3371 0.325253 0.0115543
0.398 3.33803 0.323128 0.0114788
0.397 3.33896 0.321019 0.0114039
0.396 3.33989 0.318924 0.0113294
0.395 3.34083 0.316844 0.0112556
0.394 3.34176 0.314779 0.0111822
0.393 3.3427 0.312728 0.0111093
0.392 3.34364 0.310692 0.011037
0.391 3.34458 0.30867 0.0109652
0.39 3.34552 0.306662 0.0108939
0.389 3.34646 0.304668 0.010823
0.388 3.34741 0.302689 0.0107527
0.387 3.34835 0.300723 0.0106829
0.386 3.3493 0.298772 0.0106136
0.385 3.35025 0.296833 0.0105447
0.384 3.3512 0.294909 0.0104763
0.383 3.35216 0.292998 0.0104085
0.382 3.35311 0.2911 0.010341
0.381 3.35407 0.289216 0.0102741
0.38 3.35502 0.287345 0.0102076
0.379 3.35598 0.285487 0.0101416
0.378 3.35694 0.283642 0.0100761
0.377 3.35791 0.28181 0.010011
0.376 3.35887 0.27999 0.00994636
0.375 3.35983 0.278183 0.00988218
0.374 3.3608 0.276389 0.00981844
0.373 3.36177 0.274607 0.00975515
0.372 3.36274 0.272838 0.0096923
0.371 3.36371 0.271081 0.00962988
0.37 3.36469 0.269336 0.0095679
0.369 3.36566 0.267604 0.00950634
0.368 3.36664 0.265883 0.00944522
0.367 3.36762 0.264174 0.00938451
0.366 3.3686 0.262477 0.00932423
0.365 3.36959 0.260792 0.00926436
0.364 3.37057 0.259118 0.00920491
0.363 3.37156 0.257456 0.00914586
0.362 3.37255 0.255805 0.00908723
0.361 3.37354 0.254166 0.00902899
0.36 3.37453 0.252538 0.00897116
0.359 3.37552 0.250921 0.00891373
0.358 3.37652 0.249316 0.00885668
0.357 3.37752 0.247721 0.00880003
0.356 3.37852 0.246137 0.00874377
0.355 3.37952 0.244564 0.0086879
0.354 3.38052 0.243002 0.0086324
0.353 3.38153 0.241451 0.00857729
0.352 3.38254 0.23991 0.00852255
0.351 3.38354 0.238379 0.00846818
0.35 3.38456 0.236859 0.00841419
0.349 3.38557 0.23535 0.00836056
0.348 3.38659 0.23385 0.00830729
0.347 3.3876 0.232361 0.00825439
0.346 3.38862 0.230882 0.00820185
0.345 3.38965 0.229413 0.00814966
0.344 3.39067 0.227954 0.00809783
0.343 3.3917 0.226505 0.00804634
0.342 3.39273 0.225065 0.00799521
0.341 3.39376 0.223635 0.00794441
0.34 3.39479 0.222215 0.00789396
0.339 3.39583 0.220804 0.00784385
0.338 3.39686 0.219403 0.00779408
0.337 3.3979 0.218012 0.00774464
0.336 3.39895 0.216629 0.00769553
0.335 3.39999 0.215256 0.00764675
0.334 3.40104 0.213892 0.0075983
0.333 3.40209 0.212537 0.00755017
0.332 3.40314 0.211192 0.00750236
0.331 3.40419 0.209855 0.00745487
0.33 3.40525 0.208527 0.0074077
0.329 3.40631 0.207208 0.00736084
0.328 3.40737 0.205897 0.00731429
0.327 3.40843 0.204596 0.00726805
0.326 3.4095 0.203302 0.00722211
0.325 3.41057 0.202018 0.00717648
0.324 3.41164 0.200742 0.00713115
0.323 3.41271 0.199474 0.00708612
0.322 3.41379 0.198215 0.00704138
0.321 3.41487 0.196964 0.00699694
0.32 3.41595 0.195721 0.00695279
0.319 3.41703 0.194486 0.00690893
0.318 3.41812 0.19326 0.00686536
0.317 3.41921 0.192041 0.00682207
0.316 3.4203 0.190831 0.00677906
0.315 3.4214 0.189628 0.00673633
0.314 3.42249 0.188433 0.00669388
0.313 3.4236 0.187246 0.00665171
0.312 3.4247 0.186066 0.00660981
0.311 3.42581 0.184894 0.00656818
0.31 3.42691 0.18373 0.00652682
0.309 3.42803 0.182573 0.00648573
0.308 3.42914 0.181424 0.0064449
0.307 3.43026 0.180282 0.00640434
0.306 3.43138 0.179148 0.00636403
0.305 3.43251 0.17802 0.00632399
0.304 3.43363 0.1769 0.0062842
0.303 3.43476 0.175787 0.00624466
0.302 3.4359 0.174681 0.00620538
0.301 3.43703 0.173583 0.00616634
0.3 3.43817 0.172491 0.00612756
0.299 3.43932 0.171406 0.00608902
0.298 3.44046 0.170328 0.00605072
0.297 3.44161 0.169257 0.00601267
0.296 3.44276 0.168192 0.00597485
0.295 3.44392 0.167134 0.00593728
0.294 3.44508 0.166083 0.00589994
0.293 3.44624 0.165039 0.00586284
0.292 3.44741 0.164001 0.00582596
0.291 3.44858 0.162969 0.00578932
0.29 3.44975 0.161944 0.00575291
0.289 3.45093 0.160926 0.00571672
0.288 3.45211 0.159913 0.00568076
0.287 3.45329 0.158907 0.00564502
0.286 3.45448 0.157908 0.0056095
0.285 3.45567 0.156914 0.00557421
0.284 3.45686 0.155926 0.00553912
0.283 3.45806 0.154945 0.00550426
0.282 3.45927 0.153969 0.00546961
0.281 3.46047 0.153 0.00543517
