#1:lambda	2:ipr2	3:lambda_err	4:ipr2_err
2.081372e-01	3.751842e-03	3.725929e-04	5.321793e-04
2.311358e-01	4.417985e-03	5.020631e-04	6.251793e-04
2.464471e-01	4.183165e-03	5.701580e-04	5.912169e-04
2.512801e-01	6.563289e-03	3.431835e-04	8.898965e-04
2.561833e-01	5.495316e-03	2.497884e-04	5.914456e-04
2.613876e-01	6.399103e-03	2.543877e-04	9.593103e-04
2.659457e-01	6.125410e-03	1.770378e-04	1.193049e-03
2.701833e-01	8.113454e-03	3.817046e-04	1.938206e-03
2.762644e-01	7.817269e-03	2.706238e-04	1.598017e-03
2.805544e-01	6.034924e-03	3.083217e-04	9.831055e-04
2.855412e-01	8.088463e-03	1.904563e-04	6.275978e-04
2.902811e-01	1.045130e-02	2.367222e-04	2.112332e-03
2.951325e-01	1.140136e-02	4.097611e-04	1.205153e-03
2.996990e-01	1.032225e-02	2.385271e-04	2.077238e-03
3.046595e-01	1.086513e-02	2.352569e-04	1.970794e-03
3.096798e-01	1.377446e-02	3.064112e-04	1.700339e-03
3.147211e-01	1.125359e-02	3.504581e-04	1.958888e-03
3.196217e-01	1.468362e-02	1.858041e-04	1.596995e-03
3.243198e-01	1.222734e-02	1.854564e-04	1.147093e-03
3.288075e-01	1.533928e-02	1.390052e-04	1.490037e-03
3.337932e-01	1.756126e-02	1.559913e-04	1.978523e-03
3.384949e-01	1.875787e-02	1.542359e-04	1.357546e-03
3.433443e-01	1.979123e-02	1.474535e-04	1.768312e-03
3.483182e-01	2.156268e-02	1.738863e-04	1.358277e-03
3.531776e-01	2.322828e-02	1.299034e-04	1.520092e-03
3.580698e-01	2.681064e-02	1.344231e-04	1.873867e-03
3.628309e-01	2.950018e-02	5.761710e-05	1.094680e-03
3.676921e-01	2.903898e-02	1.135983e-04	1.745516e-03
3.725401e-01	3.415426e-02	8.500379e-05	1.873884e-03
3.773884e-01	3.766991e-02	1.056996e-04	1.679679e-03
3.822447e-01	4.182333e-02	7.374744e-05	1.295825e-03
3.870972e-01	4.901686e-02	9.354716e-05	2.041496e-03
3.919807e-01	5.289042e-02	7.633113e-05	1.272760e-03
3.965881e-01	6.169744e-02	5.900422e-05	2.220505e-03
4.015183e-01	6.878293e-02	3.718578e-05	2.458830e-03
4.063318e-01	7.884839e-02	6.096296e-05	2.116145e-03
4.112977e-01	9.103635e-02	5.224953e-05	2.006801e-03
4.161080e-01	1.046579e-01	6.945219e-05	3.377100e-03
4.209462e-01	1.190032e-01	4.325434e-05	2.128614e-03
4.258576e-01	1.382461e-01	3.874031e-05	2.928829e-03
4.306631e-01	1.546678e-01	2.051600e-05	3.072529e-03
4.354885e-01	1.780915e-01	3.737573e-05	3.533976e-03
4.404567e-01	1.976564e-01	3.700448e-05	3.353849e-03
4.452095e-01	2.180923e-01	3.026672e-05	4.184826e-03
4.500485e-01	2.367229e-01	2.677796e-05	4.264262e-03
4.548913e-01	2.588451e-01	1.715398e-05	3.927582e-03
4.597617e-01	2.835910e-01	1.757017e-05	3.708379e-03
4.645853e-01	3.000675e-01	2.079222e-05	3.288861e-03
4.694087e-01	3.233610e-01	1.957596e-05	3.477881e-03
4.742667e-01	3.430456e-01	1.682347e-05	2.457367e-03
4.791176e-01	3.595137e-01	1.855843e-05	2.690473e-03
4.839766e-01	3.795054e-01	2.286860e-05	2.147698e-03
4.888247e-01	3.961183e-01	1.274302e-05	1.673121e-03
4.936639e-01	4.122170e-01	1.828305e-05	2.008442e-03
4.984847e-01	4.277394e-01	1.579366e-05	2.186169e-03
5.033577e-01	4.410199e-01	1.731984e-05	1.482063e-03
5.081863e-01	4.550130e-01	1.941548e-05	1.324078e-03
5.130447e-01	4.684001e-01	1.340036e-05	1.197000e-03
5.178693e-01	4.785346e-01	1.514087e-05	1.286971e-03
5.227355e-01	4.876590e-01	1.867766e-05	1.212581e-03
5.275756e-01	4.987473e-01	1.625978e-05	1.435685e-03
5.324229e-01	5.082683e-01	1.575083e-05	9.406042e-04
5.372616e-01	5.168838e-01	1.496992e-05	1.102929e-03
5.421339e-01	5.234315e-01	7.636863e-06	9.863228e-04
5.469934e-01	5.323494e-01	9.702327e-06	1.156926e-03
5.518053e-01	5.391308e-01	1.447383e-05	1.210910e-03
5.566569e-01	5.453003e-01	1.603431e-05	6.348921e-04
5.614888e-01	5.529574e-01	8.638325e-06	9.174729e-04
5.663558e-01	5.574142e-01	1.045368e-05	5.893989e-04
5.712135e-01	5.620825e-01	1.095521e-05	1.050165e-03
5.760637e-01	5.668192e-01	1.188025e-05	6.691936e-04
5.809023e-01	5.723464e-01	1.083422e-05	5.108762e-04
5.857616e-01	5.764006e-01	1.360003e-05	6.259009e-04
5.905762e-01	5.810264e-01	1.553912e-05	6.272221e-04
5.954210e-01	5.856610e-01	1.054321e-05	4.083455e-04
6.002640e-01	5.880043e-01	9.378681e-06	4.759570e-04
6.051241e-01	5.922666e-01	9.274270e-06	3.778805e-04
6.099631e-01	5.950674e-01	8.405063e-06	5.292921e-04
6.148243e-01	5.988010e-01	1.046413e-05	3.668807e-04
6.196930e-01	6.016152e-01	8.387051e-06	4.177139e-04
6.245311e-01	6.043424e-01	1.265414e-05	3.235695e-04
6.293760e-01	6.075368e-01	1.096574e-05	3.207166e-04
6.342048e-01	6.095849e-01	6.816374e-06	4.548923e-04
6.390647e-01	6.123301e-01	1.168347e-05	4.438700e-04
6.439106e-01	6.145425e-01	1.374910e-05	4.580128e-04
6.487019e-01	6.166626e-01	2.387351e-05	5.227553e-04
6.533647e-01	6.187594e-01	3.676370e-05	3.820909e-04
6.577999e-01	6.208604e-01	7.347000e-05	5.092957e-04
6.622714e-01	6.238498e-01	1.289414e-04	7.514032e-04
6.667131e-01	6.245111e-01	1.220010e-04	3.090770e-03
